"map_ccode","ccode","country","long","lat"
206923,700,"Afghanistan",69.13676,34.53091
206924,339,"Albania",19.832,41.332
206925,615,"Algeria",3.05,36.7833
206928,540,"Angola",13.235,-8.812
206932,160,"Argentina",-58.44984,-34.6225
206935,371,"Armenia",44.53267,40.20802
206937,900,"Australia",149.04201,-35.35
206938,305,"Austria",16.32099,48.20212
206939,373,"Azerbaijan",49.816,40.324
206942,692,"Bahrain",50.58333,26.21667
206943,771,"Bangladesh",90.40714,23.70992
206945,211,"Belgium",4.368,50.837
206947,370,"Belarus",27.57557,53.89994
206948,434,"Benin",2.6325,6.6011
206950,760,"Bhutan",89.667,27.443
206951,145,"Bolivia",-68.14625,-16.49901
206952,346,"Bosnia-Herzegovina",18.43,43.87
206953,571,"Botswana",25.9508,-24.63993
206954,140,"Brazil",-47.89775,-15.79211
206957,355,"Bulgaria",23.33187,42.70726
206958,439,"Burkina",-1.67,12.48
206959,775,"Myanmar",96.12489,16.87222
206960,516,"Burundi",29.356,-3.372
206961,811,"Cambodia",104.91319,11.56474
206962,471,"Cameroon",11.514,3.865
206963,20,"Canada",-75.651,45.374
206967,482,"Central African Republic",18.56234,4.36586
206968,483,"Chad",15.24082,12.10414
206969,155,"Chile",-70.64751,-33.47503
206970,710,"China",116.38804,39.90619
206974,100,"Colombia",-74.08051,4.63022
206975,581,"Comoros",43.243,-11.7
206977,484,"Congo",15.28515,-4.28519
206979,94,"Costa Rica",-84.07861,9.93048
206980,344,"Croatia",15.964,45.807
206981,40,"Cuba",-82.41645,23.04895
206982,352,"Cyprus",33.369,35.171
206984,390,"Denmark",12.55,55.72
206985,522,"Djibouti",43.1,11.5
206987,42,"Dominican Republic",-69.899,18.489
206988,130,"Ecuador",-78.52428,-0.2295
206989,651,"Egypt",31.2508,30.07791
206990,92,"El Salvador",-89.20023,13.70141
206991,411,"Equatorial Guinea",8.77256,3.7436
206992,366,"Estonia",24.75,59.41667
206993,530,"Ethiopia",38.7,9.03
206996,950,"Fiji",178.44772,-18.13453
206997,375,"Finland",24.9767,60.19642
206998,220,"France",2.433,48.882
207002,481,"Gabon",9.454,0.391
207003,420,"The Gambia",-16.59679,13.46395
207004,372,"Georgia",44.78313,41.72181
207005,260,"Germany",13.32757,52.51627
207006,452,"Ghana",-0.20092,5.55856
207008,350,"Greece",23.653,37.944
207013,90,"Guatemala",-90.5249,14.61801
207014,438,"Guinea",-13.672,9.55
207015,404,"Guinea-Bissau",-15.598,11.864
207016,110,"Guyana",-58.17,6.77
207017,41,"Haiti",-72.34311,18.52662
207018,91,"Honduras",-87.203,14.099
207020,310,"Hungary",19.094,47.515
